NU_INSCRICAO,NU_NOTA_MT
73ff9fcc02f0a99919906c942c2e1a1042cdcf98,437.8965256577472
71a95f9f1b91a82c65ad94abbdf9f54e6066f968,433.4553706313101
b38a03232f43b11c9d0788abaf060f7366053b6d,583.3107416342975
715494628a50142ce8cb17191cfe6d0f3cae0934,539.0607640500107
e656d6bad65c93fb2880f1eba5037008c8e75774,464.04147236047083
465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,538.1564166017756
11539e86171bf07d3a36f09377d7f54ebcc8406a,437.97431434241
043c544a2104aa8a9849f1a703a08d37a2f16839,473.3724925165549
76ba050e64ad100b856f0eaabd8f539d5c7dd185,466.8824236923925
940aede382ccb332fab15d413217695ec44ca765,453.44849226656675
9ad714b116da76d878dd399d187fccc2dd13dd63,571.5525844236083
dd34464a4d780b12a089347ad580418ac57a3055,531.179526972144
f837a4cb05a5fd59d20138182f5e8c721eadd584,466.4570655792611
051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,387.0591837268781
3d203727f27abd83b71732d88d8cb1cc099f363b,432.6666964037872
cbc301183dec912f3513ca766bf03dd565f3a38f,497.93061819168537
856aa14bcd11bd289a3b970aab0ce1b166f2c50f,637.0275013832686
11282da1ee78c8db45a041db4c744e33df489df0,428.77449322251675
03c67f683a415c2ea09b582248bd4cb08528c19d,585.6290611539243
046e844fb06a07ba30b41521f0065a8d9c6e5024,392.0093134262427
b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,456.00347724873126
f66c2e5ff22a95fa532e78c7c4bf1d145247211d,407.2872283997513
17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,564.2768218089261
fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71,506.8199700427827
a99286ac4fdce6f63b59569b2d8ed85a5c911ea3,545.4817636176397
f8d4f9a26c5f2023c33701a8888f9c02513a02c7,489.4292102937319
9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be,461.4185332550042
59bfa081e020013410d9f60f91813964ba749bb2,434.7995232558257
f5e069ee3bc95998464e8ff5da048b7f999921ed,454.4291519507112
